"Volt","Freq","Zreal","Zimag","Zreal_pred","Zimag_pred"
3.387,0.1589,0.04943,0.007043,0.048227477795099,0.00697425
3.387,0.126,0.05018,0.006768,0.0487871454080999,0.0067375
3.387,0.1002,0.05091,0.006646,0.0495347110522959,0.0066765
3.387,0.06317,0.05219,0.006839,0.0511341432286571,0.00692225
3.387,0.05013,0.0529,0.007172,0.0518398824754859,0.007295
3.387,0.03983,0.0537,0.007664,0.0526497291888553,0.0078275
3.387,0.03163,0.05458,0.008318,0.0534988931276498,0.00852275
3.387,0.02512,0.0556,0.009137,0.0546140959140694,0.00938275
3.387,0.01996,0.05675,0.01012,0.0557484816674955,0.01041
3.387,0.01585,0.05807,0.01128,0.0572027671016267,0.0116125
3.387,0.01259,0.05954,0.01261,0.0585513885073422,0.01298
3.387,0.01,0.06117,0.01409,0.0597285039053235,0.01372
3.387,0.005012,0.06681,0.01958,0.0658028144570151,0.0201575
3.387,0.003981,0.06884,0.02189,0.067963069830659,0.0225525
3.387,0.003162,0.07084,0.02454,0.0698550887203449,0.0253225
3.387,0.002512,0.07304,0.02767,0.0718921568870727,0.0286175
3.387,0.001995,0.0753,0.03146,0.0738428051456127,0.0305125
3.387,0.001259,0.0799,0.0417,0.0793017522282672,0.043475
3.387,0.001,0.08237,0.0488,0.0818205855617313,0.051035
3.387,0.0007943,0.08522,0.05774,0.0848720676054753,0.0606175
3.387,0.0006275,0.08832,0.06925,0.0883802698599948,0.0725975
3.387,0.0005037,0.09156,0.08264,0.0915241826923628,0.087105
3.387,0.0003974,0.09541,0.1005,0.0957369563607854,0.10585
3.387,0.0003165,0.09904,0.1219,0.0991833271079329,0.128575
3.387,0.0002519,0.1018,0.1486,0.102255775253144,0.15735
3.387,0.0001998,0.108,0.1836,0.104450632026137,0.17485
3.387,9.99e-05,0.1305,0.3496,0.118435678234439,0.3081
3.65,3984,0.01203,-0.001333,0.0108365330849383,-0.00130025
3.65,3171,0.01213,-0.0007413,0.0109205096978435,-0.00070675
3.65,2528,0.01225,-0.0002394,0.0110451133533768,-0.000202455
