"Volt","Freq","Zreal","Zimag","Zreal_pred","Zimag_pred"
3.177,10080,0.01258,-0.00491,0.0773356892224705,0.0619011416247985
3.177,6328,0.01251,-0.002711,0.0800489716379094,0.078057635281159
3.177,5016,0.01254,-0.001863,0.171226188274856,0.0643012109484923
3.177,3984,0.01261,-0.001153,0.0765054519135897,0.0846939298019792
3.177,3171,0.01273,-0.0005522,0.0759519233576778,0.0641428589731621
3.177,2528,0.01288,-3.99e-05,0.0755376198983587,0.0579567601499129
3.177,1578,0.01331,0.0008298,0.0739214145402601,0.0587161352201114
3.177,1266,0.01355,0.001153,0.0740924901887853,0.0589757689077339
3.177,505.5,0.01488,0.002152,0.0744675022390479,0.0687648400639822
3.177,315.5,0.0157,0.002464,0.0792673641265851,0.105608792767565
3.177,252.4,0.01611,0.002569,0.0857771876823021,0.123938384339557
3.177,198.6,0.01655,0.002659,0.077551712122609,0.123982664121092
3.177,158.4,0.01696,0.002727,0.0738731642281761,0.0691348718247309
3.177,125.6,0.01738,0.00279,0.0737515937651501,0.0600375389519643
3.177,100.4,0.01778,0.002848,0.0737912829410011,0.0600831807424867
3.177,79,0.0182,0.002915,0.0738341416443942,0.0601322130660192
3.177,63.34,0.01859,0.002978,0.0738636371027005,0.0601883162447183
3.177,50.22,0.01899,0.003058,0.0739248161131924,0.0602572860615076
3.177,38.42,0.01943,0.003176,0.0740156372565535,0.0603453240041151
3.177,31.25,0.01977,0.003296,0.0742661093111998,0.0675950458413532
3.177,24.93,0.02011,0.003455,0.0743260931195185,0.103496016896939
3.177,15.63,0.02095,0.004049,0.0756484460649113,0.139927384361161
3.177,12.4,0.02127,0.004471,0.0756441980881205,0.11877883224042
3.177,9.931,0.02163,0.005007,0.0772155114800554,0.147488319745938
3.177,6.317,0.02245,0.006536,0.0772394754531532,0.148909334874424
3.177,5.008,0.02296,0.007606,0.0776472970582154,0.149565531272579
3.177,3.946,0.02365,0.008964,0.0767564685862068,0.114524367192813
3.177,2.504,0.02552,0.01235,0.0757665019087148,0.115902526650564
3.177,1.998,0.02681,0.0145,0.0763004606963057,0.137840457102795
3.177,1.585,0.0285,0.01703,0.0770281012878948,0.125349082452818
3.177,1.267,0.03059,0.01979,0.0769997382735782,0.14053469350423
3.177,0.999,0.03339,0.02301,0.0771160026749196,0.121915944062741
3.177,0.7923,0.03684,0.02638,0.0783788716713524,0.110657555925976
3.177,0.6334,0.0409,0.02971,0.0784490909851784,0.0867914871347839
3.177,0.504,0.04586,0.03304,0.0792923276472527,0.101512207483875
3.177,0.3167,0.05821,0.03869,0.0819028425804566,0.136200220107593
3.177,0.252,0.06514,0.04061,0.0823829821421149,0.137203362619872
3.177,0.2003,0.07234,0.0418,0.0839803660654947,0.150240166142696
3.177,0.1589,0.07948,0.04221,0.0846443245613685,0.13804339084893
3.177,0.126,0.08663,0.04219,0.0869510050474251,0.138008937875299
3.177,0.1002,0.09336,0.04175,0.0869847968903572,0.131592482877781
3.177,0.07945,0.09978,0.0411,0.0896368042412857,0.131212569307147
3.177,0.06317,0.1052,0.04007,0.0907369818633105,0.0931609068906705
3.177,0.05013,0.1104,0.03928,0.0912523261463963,0.111602945403009
3.177,0.03983,0.1153,0.03879,0.0903146885256072,0.149153616170618
3.177,0.02512,0.1239,0.03901,0.0899564726231305,0.186969891528354
3.177,0.01585,0.1321,0.04163,0.0910371636072038,0.187828811227766
3.177,0.01,0.1405,0.04718,0.0923854166832145,0.183423496498076
3.177,0.005012,0.1538,0.06226,0.0942031451781692,0.19341774277461
3.177,0.003981,0.1583,0.0699,0.0938195129797716,0.195428413613001
3.177,0.002512,0.1665,0.09136,0.0947140359204665,0.196682766279959
3.177,0.001995,0.1702,0.1064,0.096300905071516,0.188741073371618
3.177,0.001585,0.174,0.1256,0.0970446295225162,0.196889667239505
3.177,0.001,0.183,0.1805,0.0976343296800481,0.225387391036668
3.177,0.0006275,0.1956,0.2694,0.100823887081519,0.257850798390083
3.177,0.0002519,0.2382,0.6242,0.103917444729652,0.340062636856139
3.177,0.0001998,0.251,0.7767,0.104808339254997,0.379837062246992
3.177,0.0001583,0.2465,0.9619,0.103690242950868,0.428139993163755
3.177,0.0001259,0.2696,1.199,0.106877617595719,0.489978736804662
3.177,9.99e-05,0.2946,1.499,0.109175332461197,0.614755450623941
3.177,6.31e-05,0.3444,2.332,0.134220441774902,1.68350309323666
3.177,5.01e-05,0.3954,2.921,0.144685746055674,2.50810658051373
3.177,3.16e-05,0.5085,4.571,0.164138571761649,3.73747083456203
