"Volt","Freq","Zreal","Zimag"
3.387,9.99e-05,0.1305,0.3496
3.65,10080,0.01208,-0.005083
3.65,8016,0.01202,-0.003909
3.65,6328,0.01197,-0.002878
3.65,5016,0.01198,-0.002036
3.65,3984,0.01203,-0.001333
3.65,3171,0.01213,-0.0007413
3.65,2528,0.01225,-0.0002394
3.65,1976,0.01243,0.0002345
3.65,1578,0.01263,0.0006026
3.65,1266,0.01284,0.0009106
3.65,998.3,0.01311,0.001202
3.65,796.9,0.01339,0.001441
3.65,627.8,0.01371,0.001662
3.65,505.5,0.01403,0.00182
3.65,398,0.0144,0.001965
3.65,315.5,0.01476,0.002068
3.65,252.4,0.01512,0.002141
3.65,198.6,0.0155,0.002195
3.65,158.4,0.01585,0.002224
3.65,125.6,0.01622,0.002242
3.65,100.4,0.01656,0.002253
3.65,79,0.01693,0.002255
3.65,63.34,0.01726,0.002251
3.65,50.22,0.01762,0.00224
3.65,38.42,0.01803,0.002217
3.65,31.25,0.01835,0.002188
3.65,24.93,0.0187,0.00214
3.65,19.86,0.01905,0.00207
3.65,15.63,0.01941,0.001966
3.65,12.4,0.01973,0.00184
3.65,9.931,0.02,0.001702
3.65,7.945,0.02023,0.001556
3.65,6.317,0.02044,0.001409
3.65,5.008,0.02062,0.001272
3.65,3.946,0.02077,0.001147
3.65,3.159,0.02089,0.00105
3.65,2.504,0.021,0.0009549
3.65,1.998,0.02109,0.0008939
3.65,1.585,0.02117,0.0008555
3.65,1.267,0.02125,0.000835
3.65,0.999,0.02133,0.0008329
3.65,0.7923,0.02141,0.0008525
3.65,0.6334,0.02148,0.0008923
3.65,0.504,0.02157,0.0009553
3.65,0.4006,0.02166,0.00104
3.65,0.3167,0.02176,0.001152
3.65,0.252,0.02187,0.00129
3.65,0.2003,0.022,0.001453
3.65,0.1589,0.02214,0.001653
3.65,0.126,0.02234,0.001888
3.65,0.1002,0.02256,0.002165
3.65,0.07945,0.02279,0.002494
3.65,0.06317,0.02298,0.002872
3.65,0.05013,0.02328,0.003313
3.65,0.03983,0.02364,0.003819
3.65,0.03163,0.02406,0.004397
